time(ms),x(cm),y(cm),theta(rad)
68300.0,14.37286751,36.63972431,0.01028
68400.0,14.38900434,36.60099338,0.03493829
68500.0,14.41439428,36.60479323,0.03956829
68600.0,14.42364532,36.58965015,0.0439841
68700.0,14.41176471,36.59733894,0.02644884
68800.0,14.42509579,36.6005291,0.03044271
68900.0,14.43597803,36.50252845,0.00351306
69000.0,14.39835579,36.60879849,0.03192993
69100.0,14.41389452,36.57282913,0.04722766
69200.0,14.16159875,36.46683673,-0.13994469
69300.0,14.01774848,36.34173669,-0.49237787
69400.0,14.08869863,36.21795499,-0.77045237
69500.0,13.97523238,35.9878882,-1.16807626
69600.0,13.84953436,35.59254432,-1.60964466
69700.0,13.68842365,35.5266035,-1.89882508
69800.0,13.55269397,35.59040179,-2.23436857
69900.0,13.75681034,35.84017857,-2.60366811
70000.0,13.81752445,36.07595949,-2.90972228
70100.0,13.48666667,36.1515873,3.02012992
70200.0,13.39956897,36.31622024,2.62388489
70300.0,13.31713014,36.40437788,2.12197399
70400.0,13.48014706,36.45693277,2.03425533
70500.0,13.40198276,36.88392857,1.64221847
70600.0,13.38700627,38.26753247,1.63625179
70700.0,13.32375681,40.11654135,1.63156942
70800.0,13.28613861,41.07072136,1.60488592
70900.0,13.30159401,41.69002695,1.58877599
71000.0,13.13330309,41.05102041,1.83622919
71100.0,13.17931034,40.41534392,2.11189312
71200.0,13.24484941,40.19891501,2.28165355
71300.0,13.26248835,40.12355212,-3.06936939
71400.0,12.8586579,40.52004111,2.68983703
71500.0,12.80670355,40.48081023,2.6473603
71600.0,12.99090038,40.2473545,2.29346623
71700.0,13.25172414,40.1445993,1.8605006
71800.0,13.28572714,40.2931677,1.47556011
71900.0,13.48448276,41.07057823,1.51715407
72000.0,13.53685345,41.49107143,1.32303603
72100.0,13.44086086,41.1968032,1.72054738
72200.0,13.48785607,40.66703638,2.03997997
72300.0,13.516313,40.21909341,2.36332458
72400.0,13.58027928,40.05991736,2.76428886
72500.0,13.15015674,40.40120594,3.11668885
72600.0,12.22443016,40.6598063,nan
72700.0,10.65840517,41.23125,nan
72800.0,10.58591467,40.78874092,nan
72900.0,10.54874005,40.5206044,nan
73000.0,10.36648707,40.15178571,nan
73100.0,10.46857515,39.64690027,-2.79314254
73200.0,10.35846395,39.01704545,-2.59973462
73300.0,10.34960212,38.60989011,-2.51563815
73400.0,10.42920741,38.68336887,-2.9608542
73500.0,10.22357427,38.63392857,2.89872365
73600.0,10.21498108,38.78506098,2.45122913
73700.0,9.77144659,39.56533101,2.27342223
73800.0,9.08055957,40.43905047,1.07370696
73900.0,9.06242163,40.56493506,0.98244099
74000.0,9.3205796,40.86778116,1.34755506
74100.0,9.39568966,40.62568681,1.03254688
74200.0,9.44536375,40.63915505,0.81094597
74300.0,9.42607759,40.51084184,0.25865944
74400.0,9.3509434,40.31940701,-0.09258329
74500.0,9.24111406,40.15567766,-0.76252743
74600.0,9.68424288,39.80776398,nan
74700.0,11.25395538,39.10084034,-0.48609334
74800.0,12.93864097,38.2762605,-0.45983716
74900.0,14.39673841,37.77911738,-0.40212366
75000.0,14.41611026,37.9333485,-0.05937471
75100.0,14.14784483,37.9962406,0.36735692
75200.0,13.67851694,38.04993679,0.71940447
75300.0,13.59418103,37.67708333,1.14451299
75400.0,13.53994537,37.58274399,0.8936955
